Title,Time,Stock
100 startups participate in Maxis' Market Access Day | The Edge Markets,2019-12-12T23:50:12+08:00,maxis 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,sop 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,affin 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,karex 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,trop 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,star 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,supermx 
"7-Eleven, Caring, Genting, GenM, TNB, DRB-Hicom, Heineken, Press Metal, Dutch Lady, MyEG, UMW, KPJ, Supermax, Berjaya Corp, Litrak, Tropicana, Velesto, KPS, Affin Bank, Karex, Sarawak Oil Palms and Star Media | The Edge Markets",2019-11-29T00:28:01+08:00,pmetal 
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence | The Edge Markets",2019-12-27T23:42:10+08:00,ygl 
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence | The Edge Markets",2019-12-27T23:42:10+08:00,atrium 
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence | The Edge Markets",2019-12-27T23:42:10+08:00,gasmsia 
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence | The Edge Markets",2019-12-27T23:42:10+08:00,pestech 
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence | The Edge Markets",2019-12-27T23:42:10+08:00,sem 
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence | The Edge Markets",2019-12-27T23:42:10+08:00,seacera 
"7-Eleven Malaysia, ARB, Atrium REIT, Gas Malaysia, Kim Loong, Pestech, Seacera, Taliworks and YGL Convergence | The Edge Markets",2019-12-27T23:42:10+08:00,taliwrk 
"7-Eleven Malaysia may climb higher, says RHB Retail Research | The Edge Markets",2019-05-31T08:27:31+08:00,sem 
MARC assigns AA- rating to 7-Eleven Malaysia's proposed RM600m bonds | The Edge Markets,2021-04-20T11:29:19+08:00,sem 
7-Eleven Malaysia says not aware of reasons for sharp share price decline | The Edge Markets,2019-06-14T16:32:03+08:00,sem 
7-Eleven Malaysia to take up 46% stake in Dego Ride operator | The Edge Markets,2019-12-27T19:36:30+08:00,sem 
7-Eleven Malaysia's ex-CEO Colin George Harvey dies | The Edge Markets,2020-12-13T10:18:15+08:00,sem 
7-Eleven: No plans to merge operations with Caring Pharmacy | The Edge Markets,2020-02-07T16:40:03+08:00,caring 
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development | The Edge Markets",2019-06-14T23:28:36+08:00,perisai 
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development | The Edge Markets",2019-06-14T23:28:36+08:00,straits 
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development | The Edge Markets",2019-06-14T23:28:36+08:00,huaan 
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development | The Edge Markets",2019-06-14T23:28:36+08:00,uems 
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development | The Edge Markets",2019-06-14T23:28:36+08:00,ewint 
"7-Eleven, UEM Sunrise, Sino Hua-An, Straits Inter Logistics, Perisai Petroleum and Eco World Development | The Edge Markets",2019-06-14T23:28:36+08:00,ecowld 
7-Eleven ups stake in Caring Pharmacy | The Edge Markets,2019-11-20T08:36:04+08:00,caring 
7-Eleven's Caring pharmacy unit spends RM48.86m on new acquisitions | The Edge Markets,2020-10-05T20:09:52+08:00,caring 
8.06% of Green Packet shares traded in off-market deal | The Edge Markets,2019-07-24T00:15:17+08:00,gpacket 
90 foreign workers tested Covid-19 positive at furniture maker Sern Kou | The Edge Markets,2021-06-11T23:33:12+08:00,sernkou 
90% of Malaysia Airports staff at KLIA vaccinated | The Edge Markets,2021-07-14T01:02:23+08:00,airport 
Aabar wants to sell its remaining stake in RHB Bank | The Edge Markets,2020-12-14T23:39:59+08:00,rhbbank 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,gpacket 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,ambank 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,genp 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,genting 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,hlind 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,ijm 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,bjcorp 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,magnum 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,sime 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,thplant 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,uoadev 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,matrix 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,simeprop 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,kheesan 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,padini 
"AAX, AMMB, MBSB, QL, Sime Darby Property, UOA Development, Matrix Concepts, 7-Eleven, Power Root, Padini, Petron, IJM Corp, Magnum, Hong Leong Industries, GHL, Green Packet, Genting Plantations, TH Plantations, Khee San, DNeX, TSH and Berjaya Corp | The Edge Markets",2020-08-27T01:28:16+08:00,pwroot 
"AAX, Careplus, PetDag, Malakaoff, Malaysia Smelting, Luxchem, Genetec, AwanBiru, SMTrack, Pimpinan Ehsan and MyEG | The Edge Markets",2021-02-19T23:52:05+08:00,carepls 
"AAX, Careplus, PetDag, Malakaoff, Malaysia Smelting, Luxchem, Genetec, AwanBiru, SMTrack, Pimpinan Ehsan and MyEG | The Edge Markets",2021-02-19T23:52:05+08:00,smtrack 
"AAX, Careplus, PetDag, Malakaoff, Malaysia Smelting, Luxchem, Genetec, AwanBiru, SMTrack, Pimpinan Ehsan and MyEG | The Edge Markets",2021-02-19T23:52:05+08:00,luxchem 
"AAX, Careplus, PetDag, Malakaoff, Malaysia Smelting, Luxchem, Genetec, AwanBiru, SMTrack, Pimpinan Ehsan and MyEG | The Edge Markets",2021-02-19T23:52:05+08:00,msc 
AirAsia X hearing to set aside enforcement of court judgment obtained by BOC Aviation fixed for Oct 27 | The Edge Markets,2021-07-16T16:18:41+08:00,airasia 
AirAsia X hearing to set aside enforcement of court judgment obtained by BOC Aviation fixed for Oct 27 | The Edge Markets,2021-07-16T16:18:41+08:00,aax 
"AAX, Lotte Chemical, CIMB, Tune Protect, YTL REIT, KPJ, Willowglen, Notion Vtec, YNH, Top Glove and Hartalega | The Edge Markets",2020-07-31T00:54:22+08:00,willow 
"AAX, Lotte Chemical, CIMB, Tune Protect, YTL REIT, KPJ, Willowglen, Notion Vtec, YNH, Top Glove and Hartalega | The Edge Markets",2020-07-31T00:54:22+08:00,notion 
"AAX, Lotte Chemical, CIMB, Tune Protect, YTL REIT, KPJ, Willowglen, Notion Vtec, YNH, Top Glove and Hartalega | The Edge Markets",2020-07-31T00:54:22+08:00,cimb 
"AAX, Lotte Chemical, CIMB, Tune Protect, YTL REIT, KPJ, Willowglen, Notion Vtec, YNH, Top Glove and Hartalega | The Edge Markets",2020-07-31T00:54:22+08:00,ytl 
"AAX, Lotte Chemical, CIMB, Tune Protect, YTL REIT, KPJ, Willowglen, Notion Vtec, YNH, Top Glove and Hartalega | The Edge Markets",2020-07-31T00:54:22+08:00,harta 
"AAX, Lotte Chemical, CIMB, Tune Protect, YTL REIT, KPJ, Willowglen, Notion Vtec, YNH, Top Glove and Hartalega | The Edge Markets",2020-07-31T00:54:22+08:00,tunepro 
"AAX, Lotte Chemical, CIMB, Tune Protect, YTL REIT, KPJ, Willowglen, Notion Vtec, YNH, Top Glove and Hartalega | The Edge Markets",2020-07-31T00:54:22+08:00,topglov 
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA | The Edge Markets",2020-11-04T23:40:51+08:00,maa 
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA | The Edge Markets",2020-11-04T23:40:51+08:00,mfcb 
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA | The Edge Markets",2020-11-04T23:40:51+08:00,umw 
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA | The Edge Markets",2020-11-04T23:40:51+08:00,gamuda 
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA | The Edge Markets",2020-11-04T23:40:51+08:00,ipmuda 
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA | The Edge Markets",2020-11-04T23:40:51+08:00,latitud 
"AAX, MAHB, UMW, FGV, Latitude Tree, F&N, Gamuda, Crest Builder, Mega First, Ocean Vantage, Ipmuda and MAA | The Edge Markets",2020-11-04T23:40:51+08:00,cresbld 
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB | The Edge Markets",2019-08-23T00:40:41+08:00,kgb 
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB | The Edge Markets",2019-08-23T00:40:41+08:00,ambank 
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB | The Edge Markets",2019-08-23T00:40:41+08:00,media 
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB | The Edge Markets",2019-08-23T00:40:41+08:00,tasco 
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB | The Edge Markets",2019-08-23T00:40:41+08:00,serbadk 
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB | The Edge Markets",2019-08-23T00:40:41+08:00,trop 
"AAX, Media Prima, AMMB, Allianz, Serba Dinamik, Perdana Petroleum, Kelington, Tropicana, CJ Century, Tasco, Astro, MAHB and ARB | The Edge Markets",2019-08-23T00:40:41+08:00,perdana 
"AAX, PPB Group, Inix, Ipmuda, Fintec Global and Ageson | The Edge Markets",2020-09-04T23:19:02+08:00,fintec 
"AAX, PPB Group, Inix, Ipmuda, Fintec Global and Ageson | The Edge Markets",2020-09-04T23:19:02+08:00,ppb 
"AAX, PPB Group, Inix, Ipmuda, Fintec Global and Ageson | The Edge Markets",2020-09-04T23:19:02+08:00,ipmuda 
"AAX, PRG Holdings, AWC, Chin Teck Plantations, Sealink International | The Edge Markets",2021-03-09T13:54:07+08:00,chintek 
"AAX, PRG Holdings, AWC, Chin Teck Plantations, Sealink International | The Edge Markets",2021-03-09T13:54:07+08:00,cihldg 
"AAX, PRG Holdings, AWC, Chin Teck Plantations, Sealink International | The Edge Markets",2021-03-09T13:54:07+08:00,sealink 
"AAX, PRG Holdings, AWC, Chin Teck Plantations, Sealink International | The Edge Markets",2021-03-09T13:54:07+08:00,prg 
"AAX, PRG Holdings, AWC, Chin Teck Plantations, Sealink International | The Edge Markets",2021-03-09T13:54:07+08:00,awc 
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman | The Edge Markets",2020-12-15T01:32:15+08:00,rhbbank 
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman | The Edge Markets",2020-12-15T01:32:15+08:00,deleum 
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman | The Edge Markets",2020-12-15T01:32:15+08:00,luxchem 
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman | The Edge Markets",2020-12-15T01:32:15+08:00,harta 
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman | The Edge Markets",2020-12-15T01:32:15+08:00,ivory 
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman | The Edge Markets",2020-12-15T01:32:15+08:00,bdb 
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman | The Edge Markets",2020-12-15T01:32:15+08:00,tawin 
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman | The Edge Markets",2020-12-15T01:32:15+08:00,topglov 
AirAsia X served with RM95m breach of contract claim in UK | The Edge Markets,2020-09-04T19:33:25+08:00,airasia 
AirAsia X served with RM95m breach of contract claim in UK | The Edge Markets,2020-09-04T19:33:25+08:00,aax 
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise | The Edge Markets",2020-10-06T23:56:25+08:00,puc 
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise | The Edge Markets",2020-10-06T23:56:25+08:00,focus 
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise | The Edge Markets",2020-10-06T23:56:25+08:00,oversea 
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise | The Edge Markets",2020-10-06T23:56:25+08:00,trop 
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise | The Edge Markets",2020-10-06T23:56:25+08:00,bintai 
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise | The Edge Markets",2020-10-06T23:56:25+08:00,topglov 
"AAX, Top Glove, SCGM, PUC, Tropicana, Bintai Kinden, Focus Dynamics and Oversea Enterprise | The Edge Markets",2020-10-06T23:56:25+08:00,scgm 
Abdul Kadier continues mopping up Serba Dinamik shares despite company facing audit issues | The Edge Markets,2021-06-04T20:07:15+08:00,serbadk 
Abdul Karim’s stake in Kumpulan Powernet rises to 53.38% at the close of takeover offer | The Edge Markets,2019-11-14T19:44:11+08:00,kpower 
Abdul Rashid takes over as Perak Corp chairman | The Edge Markets,2020-07-06T21:37:04+08:00,prkcorp 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,gnb 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,gob 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,cihldg 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,marco 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,orient 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,chinhin 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,danco 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,zecon 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,ablegrp 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,acme 
"AbleGroup, Acme, AHB, Chin Hin Group Property, D&O, Dancomech, D’nonce, Eastland, EKA, G Neptune, Global Oriental, JKG, Marco, P.A., Pensonic, SMI, Zecon | The Edge Markets",2020-08-27T13:00:00+08:00,ahb 
